query,npos,nneg,ratio
"Duration(LeftQuadrant(o0), 5); Duration(Conjunction(Conjunction(Conjunction(Color_brown(o0), LeftQuadrant(o0)), RightOf(o1, o2)), Shape_cube(o2)), 5); Duration(Conjunction(BottomQuadrant(o1), LeftQuadrant(o2)), 15)",984,9016,0.10913930789707187
"Duration(Conjunction(Conjunction(Far_3.0(o0, o1), FrontOf(o0, o2)), RightOf(o0, o2)), 15); Duration(Conjunction(Color_brown(o0), TopQuadrant(o0)), 15); Duration(Conjunction(Far_3.0(o0, o2), Material_metal(o0)), 5)",818,9182,0.08908734480505337
"Duration(LeftOf(o0, o1), 10); Duration(Conjunction(Conjunction(BottomQuadrant(o2), Far_3.0(o0, o2)), RightOf(o0, o1)), 5); Conjunction(Conjunction(Material_metal(o1), RightQuadrant(o1)), Shape_cylinder(o0))",791,9209,0.08589423390161799
"Duration(Conjunction(Conjunction(Conjunction(Color_cyan(o0), LeftQuadrant(o1)), RightQuadrant(o0)), Shape_sphere(o0)), 5); Duration(Conjunction(RightQuadrant(o0), TopQuadrant(o0)), 15); Duration(RightOf(o0, o2), 15)",857,9143,0.09373291042327464
"Duration(Conjunction(Conjunction(LeftOf(o0, o1), LeftQuadrant(o2)), RightQuadrant(o1)), 5); Duration(Conjunction(Material_rubber(o2), Near_1.0(o0, o1)), 15); Conjunction(Color_purple(o2), Near_1.0(o0, o1))",629,9371,0.06712197204140433
"Duration(Far_3.0(o0, o1), 10); Duration(FrontOf(o0, o1), 5); Duration(Conjunction(Conjunction(Conjunction(Conjunction(Behind(o0, o1), BottomQuadrant(o2)), Material_rubber(o1)), Shape_cylinder(o1)), TopQuadrant(o0)), 15)",932,9068,0.1027790030877812
"Duration(Conjunction(Conjunction(Color_red(o0), LeftOf(o0, o1)), Material_metal(o1)), 10); Duration(Conjunction(Behind(o1, o2), BottomQuadrant(o1)), 5); Duration(Conjunction(BottomQuadrant(o1), LeftQuadrant(o2)), 5)",602,9398,0.06405618216641838
"Duration(Conjunction(Conjunction(Conjunction(Behind(o0, o1), LeftQuadrant(o0)), Material_metal(o2)), RightQuadrant(o2)), 5); Duration(Conjunction(Material_rubber(o1), Near_1.0(o0, o1)), 5); Duration(FrontOf(o0, o1), 15)",729,9271,0.07863229425088987
"Duration(Conjunction(BottomQuadrant(o0), LeftOf(o0, o1)), 15); Duration(Conjunction(Conjunction(LeftQuadrant(o1), RightQuadrant(o2)), Shape_cube(o0)), 15); Duration(Conjunction(RightOf(o0, o1), Shape_cube(o0)), 10)",827,9173,0.09015589229259784
"Conjunction(Conjunction(RightQuadrant(o0), Shape_cube(o0)), TopQuadrant(o1)); Duration(Conjunction(Color_red(o0), RightQuadrant(o0)), 15); Duration(Conjunction(Behind(o0, o1), FrontOf(o1, o2)), 15)",744,9256,0.08038029386343994
