query,npos,nneg,ratio
"Conjunction(BottomQuadrant(o0), RightOf(o0, o1)); Conjunction(Conjunction(Behind(o1, o2), Material_metal(o1)), Shape_cylinder(o2)); Conjunction(LeftOf(o0, o1), Near_1.0(o0, o2))",645,9355,0.0689470871191876
"Conjunction(Conjunction(Color_yellow(o0), FrontOf(o1, o2)), RightQuadrant(o1)); BottomQuadrant(o1); Conjunction(Conjunction(LeftQuadrant(o2), Material_metal(o0)), TopQuadrant(o1))",699,9301,0.07515320933232986
"Conjunction(Color_brown(o0), LeftOf(o0, o1)); Conjunction(Conjunction(BottomQuadrant(o0), RightOf(o0, o2)), Shape_sphere(o2)); Conjunction(BottomQuadrant(o1), RightOf(o1, o2))",543,9457,0.0574177857671566
"BottomQuadrant(o0); Conjunction(Conjunction(BottomQuadrant(o1), FrontOf(o0, o2)), Material_metal(o2)); Conjunction(Conjunction(Color_purple(o2), RightQuadrant(o1)), TopQuadrant(o0))",568,9432,0.06022052586938083
"Conjunction(Conjunction(Color_blue(o0), Far_3.0(o0, o1)), RightOf(o0, o2)); Conjunction(Conjunction(BottomQuadrant(o0), FrontOf(o1, o2)), Material_rubber(o0)); TopQuadrant(o1)",764,9236,0.08271979211779991
"Conjunction(Near_1.0(o0, o1), RightOf(o1, o2)); Conjunction(Conjunction(Conjunction(BottomQuadrant(o1), Color_yellow(o1)), Material_metal(o2)), RightOf(o0, o2)); Near_1.0(o0, o1)",633,9367,0.06757766627522152
"Conjunction(Conjunction(Conjunction(Behind(o0, o1), LeftOf(o0, o2)), Near_1.0(o0, o2)), Shape_sphere(o0)); Conjunction(Material_rubber(o2), Near_1.0(o0, o1)); LeftOf(o0, o1)",783,9217,0.08495171964847564
"Conjunction(BottomQuadrant(o0), LeftOf(o1, o2)); Conjunction(Conjunction(FrontOf(o1, o2), Material_rubber(o0)), RightOf(o0, o1)); Conjunction(Color_gray(o0), Far_3.0(o0, o1))",834,9166,0.09098843552258346
"Conjunction(Conjunction(Conjunction(LeftOf(o0, o1), Material_metal(o1)), Near_1.0(o0, o2)), Shape_cube(o2)); Conjunction(LeftOf(o0, o1), RightQuadrant(o0)); LeftOf(o1, o2)",976,9024,0.10815602836879433
"Conjunction(Conjunction(Far_3.0(o0, o1), FrontOf(o0, o1)), Shape_sphere(o1)); Near_1.0(o0, o1); Conjunction(Conjunction(Color_red(o0), FrontOf(o1, o2)), RightOf(o0, o2))",543,9457,0.0574177857671566
"Conjunction(Conjunction(BottomQuadrant(o0), Material_metal(o1)), RightOf(o0, o2)); Conjunction(FrontOf(o1, o2), LeftOf(o0, o2)); Conjunction(Color_cyan(o1), LeftQuadrant(o0))",528,9472,0.05574324324324324
"Conjunction(BottomQuadrant(o0), FrontOf(o0, o1)); Conjunction(Conjunction(Material_metal(o2), RightOf(o0, o2)), Shape_cube(o0)); Conjunction(Behind(o0, o1), LeftOf(o0, o1))",856,9144,0.09361329833770779
"Conjunction(Conjunction(LeftQuadrant(o0), RightOf(o0, o1)), Shape_cylinder(o2)); Conjunction(Color_yellow(o2), Far_3.0(o1, o2)); Conjunction(RightQuadrant(o0), TopQuadrant(o2))",635,9365,0.06780565936999466
"Conjunction(LeftOf(o0, o1), Near_1.0(o1, o2)); Conjunction(Behind(o0, o1), Color_red(o0)); Conjunction(Conjunction(Behind(o0, o1), LeftQuadrant(o0)), Shape_cube(o1))",911,9089,0.10023104852018924
"Conjunction(Conjunction(Behind(o0, o1), FrontOf(o1, o2)), LeftOf(o0, o2)); Conjunction(Color_blue(o0), TopQuadrant(o2)); Conjunction(FrontOf(o0, o1), Material_metal(o0))",739,9261,0.0797969981643451
"Conjunction(Far_3.0(o0, o1), LeftOf(o0, o1)); Conjunction(BottomQuadrant(o2), RightOf(o0, o2)); Conjunction(Conjunction(Color_gray(o2), Material_metal(o2)), RightOf(o1, o2))",713,9287,0.076773985140519
"Conjunction(Conjunction(Conjunction(LeftOf(o0, o1), LeftQuadrant(o1)), Material_metal(o0)), Shape_cube(o2)); BottomQuadrant(o2); Conjunction(LeftQuadrant(o2), TopQuadrant(o2))",791,9209,0.08589423390161799
"BottomQuadrant(o0); Conjunction(Conjunction(Conjunction(Material_metal(o1), RightQuadrant(o0)), Shape_cylinder(o2)), TopQuadrant(o2)); Conjunction(Behind(o0, o2), LeftQuadrant(o2))",896,9104,0.0984182776801406
"Conjunction(Color_green(o0), FrontOf(o1, o2)); FrontOf(o0, o1); Conjunction(Conjunction(Conjunction(BottomQuadrant(o1), Far_3.0(o0, o2)), Material_metal(o0)), RightQuadrant(o2))",555,9445,0.058761249338274216
"Conjunction(Conjunction(FrontOf(o0, o1), Material_metal(o1)), Near_1.0(o1, o2)); Conjunction(FrontOf(o0, o1), RightOf(o1, o2)); Conjunction(Color_brown(o0), LeftOf(o1, o2))",765,9235,0.0828370330265295
"Conjunction(BottomQuadrant(o0), LeftOf(o0, o1)); LeftOf(o1, o2); Conjunction(Conjunction(Conjunction(Behind(o1, o2), Color_gray(o0)), LeftOf(o0, o2)), Material_rubber(o0))",794,9206,0.08624809906582663
"Conjunction(Conjunction(Conjunction(Color_yellow(o0), FrontOf(o1, o2)), RightOf(o0, o2)), Shape_sphere(o1)); Conjunction(FrontOf(o1, o2), Near_1.0(o0, o1)); Far_3.0(o1, o2)",954,9046,0.10546097722750387
